gender,NationalITy,StageID,GradeID,Topic,Semester,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
Male,Indian,MiddleSchool,7,IT,F,19,20,16,50,No,Good,Under_Seven,M
Male,Indian,HighSchool,9,IT,F,10,12,7,33,Yes,Good,Above_Seven,L
Female,Indian,HighSchool,9,IT,F,30,35,28,90,Yes,Good,Under_Seven,M
Female,Indian,HighSchool,9,IT,F,33,33,30,90,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,7,Math,F,20,12,15,70,No,Good,Above_Seven,L
Male,Indian,lowerlevel,5,English,F,7,10,1,30,No,Bad,Above_Seven,L
Female,Indian,HighSchool,12,English,F,70,4,39,90,Yes,Good,Under_Seven,H
Female,Indian,HighSchool,12,English,F,13,80,40,88,Yes,Good,Under_Seven,H
Female,Indian,HighSchool,12,English,F,29,39,50,77,Yes,Good,Under_Seven,M
Female,Indian,HighSchool,12,English,F,20,14,12,70,No,Bad,Above_Seven,L
Male,Indian,HighSchool,12,English,F,39,15,16,50,No,Good,Above_Seven,L
Female,Indian,HighSchool,12,English,F,55,90,16,40,No,Bad,Under_Seven,M
Female,Indian,HighSchool,11,Science,F,49,70,19,75,Yes,Good,Under_Seven,H
Male,Indian,HighSchool,12,English,F,12,50,8,30,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Math,F,16,14,6,20,Yes,Good,Above_Seven,L
Male,Indian,MiddleSchool,8,Math,F,19,5,4,1,Yes,Good,Above_Seven,L
Male,Indian,MiddleSchool,7,Math,F,5,2,6,5,Yes,Good,Above_Seven,L
Male,Indian,MiddleSchool,7,Math,F,28,60,19,50,Yes,Good,Under_Seven,M
Female,Indian,MiddleSchool,7,Math,F,27,22,22,40,No,Good,Under_Seven,M
Female,Indian,lowerlevel,5,English,F,21,10,28,20,No,Good,Above_Seven,L
Male,Indian,HighSchool,10,IT,F,50,70,32,40,Yes,Good,Under_Seven,M
Male,Indian,HighSchool,10,IT,F,80,90,70,80,Yes,Good,Under_Seven,H
Male,Indian,HighSchool,10,IT,F,17,13,16,12,Yes,Bad,Under_Seven,M
Male,Indian,HighSchool,10,IT,F,0,5,7,2,No,Bad,Above_Seven,L
Male,Indian,HighSchool,12,English,F,13,5,18,19,No,Bad,Above_Seven,L
Female,Indian,HighSchool,12,English,F,25,10,19,30,No,Bad,Above_Seven,M
Female,Indian,HighSchool,12,English,F,65,75,23,80,Yes,Good,Under_Seven,H
Female,Indian,HighSchool,12,IT,F,70,69,35,30,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,7,IT,F,39,40,11,33,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,7,IT,F,22,30,10,12,Yes,Good,Above_Seven,L
Male,Indian,MiddleSchool,7,IT,F,29,22,9,20,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,7,Math,F,11,2,2,8,No,Bad,Under_Seven,L
Female,Indian,MiddleSchool,7,English,F,19,30,26,19,Yes,Bad,Above_Seven,M
Male,Indian,MiddleSchool,7,IT,F,12,0,6,13,No,Bad,Under_Seven,L
Male,Indian,MiddleSchool,7,Math,F,50,90,29,60,Yes,Good,Under_Seven,M
Male,Indian,HighSchool,9,IT,F,15,70,37,44,Yes,Good,Under_Seven,M
Male,Indian,HighSchool,9,IT,F,20,80,33,33,Yes,Good,Under_Seven,M
Male,Indian,HighSchool,11,Math,F,13,3,11,9,No,Bad,Above_Seven,L
Female,Indian,MiddleSchool,7,Math,F,80,90,49,55,Yes,Bad,Under_Seven,H
Male,Indian,MiddleSchool,7,Math,F,8,15,10,40,Yes,Bad,Under_Seven,L
Male,Indian,lowerlevel,2,IT,F,8,25,1,70,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,7,5,2,80,Yes,Good,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,7,4,10,50,No,Good,Above_Seven,M
Male,Indian,lowerlevel,2,IT,F,50,70,50,10,Yes,Good,Above_Seven,H
Male,Indian,lowerlevel,2,IT,F,1,0,1,12,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,70,12,40,50,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,2,IT,F,19,70,3,50,No,Bad,Under_Seven,L
Female,Indian,lowerlevel,2,IT,F,3,12,4,33,No,Bad,Under_Seven,L
Male,Indian,lowerlevel,2,IT,F,5,20,1,50,Yes,Good,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,4,8,10,60,Yes,Good,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,80,90,55,19,Yes,Good,Under_Seven,H
Female,Indian,lowerlevel,2,IT,F,50,70,19,15,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,2,IT,F,55,89,40,40,Yes,Good,Under_Seven,H
Female,Indian,lowerlevel,2,IT,F,80,44,35,10,No,Good,Above_Seven,L
Female,Indian,lowerlevel,2,IT,F,100,80,2,70,No,Bad,Under_Seven,H
Female,Indian,lowerlevel,2,IT,F,14,60,11,75,Yes,Good,Under_Seven,H
Female,Indian,lowerlevel,2,IT,F,6,2,38,12,No,Bad,Under_Seven,M
Female,Indian,lowerlevel,2,IT,F,10,3,0,30,No,Bad,Under_Seven,M
Male,Indian,lowerlevel,2,IT,F,50,7,9,50,Yes,Bad,Above_Seven,M
Male,Indian,lowerlevel,2,IT,F,50,90,40,90,Yes,Bad,Under_Seven,M
Female,Indian,lowerlevel,2,IT,F,70,92,50,7,Yes,Good,Under_Seven,H
Female,Indian,lowerlevel,2,IT,F,2,6,2,8,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,1,7,6,10,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,0,12,3,3,Yes,Good,Above_Seven,M
Female,Indian,lowerlevel,2,IT,F,0,0,5,80,Yes,Good,Above_Seven,L
Female,Indian,lowerlevel,2,IT,F,12,26,7,40,Yes,Good,Under_Seven,M
Male,Indian,lowerlevel,2,IT,F,70,90,41,33,Yes,Bad,Under_Seven,H
Male,Indian,lowerlevel,2,IT,F,7,12,5,3,No,Bad,Above_Seven,M
Male,Indian,lowerlevel,2,IT,F,90,70,30,14,No,Bad,Under_Seven,M
Female,Indian,lowerlevel,2,IT,F,70,88,55,40,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,2,IT,F,77,80,51,80,No,Good,Under_Seven,M
Male,Indian,lowerlevel,2,IT,F,2,5,3,50,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,25,27,0,69,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,11,2,0,50,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,0,8,11,70,Yes,Good,Above_Seven,L
Female,Indian,lowerlevel,2,IT,F,77,80,12,19,Yes,Good,Above_Seven,M
Female,Indian,lowerlevel,2,IT,F,25,29,40,17,No,Good,Under_Seven,H
Female,Indian,lowerlevel,2,IT,F,24,35,23,22,Yes,Good,Above_Seven,M
Male,Indian,lowerlevel,2,IT,F,60,60,3,60,No,Bad,Under_Seven,M
Male,Indian,lowerlevel,2,IT,F,21,12,0,50,Yes,Good,Under_Seven,M
Male,Indian,lowerlevel,2,IT,F,0,4,8,30,No,Bad,Above_Seven,L
Female,Indian,lowerlevel,2,IT,F,66,90,55,12,Yes,Good,Above_Seven,M
Female,Indian,lowerlevel,2,IT,F,70,98,7,5,Yes,Good,Under_Seven,M
Male,Indian,lowerlevel,2,IT,F,0,6,4,15,Yes,Bad,Under_Seven,L
Male,Indian,lowerlevel,2,IT,F,12,30,0,17,No,Good,Above_Seven,L
Female,Indian,lowerlevel,2,IT,F,2,9,7,55,Yes,Good,Under_Seven,M
Male,Indian,lowerlevel,2,IT,F,55,33,6,9,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,12,10,20,16,No,Bad,Under_Seven,L
Male,Indian,lowerlevel,2,IT,F,70,90,2,2,Yes,Good,Under_Seven,L
Female,Indian,lowerlevel,2,IT,F,7,9,5,30,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,F,80,42,20,50,Yes,Good,Under_Seven,M
Male,Indian,lowerlevel,2,IT,S,0,3,10,3,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,S,12,60,0,70,Yes,Good,Above_Seven,L
Male,Indian,MiddleSchool,7,Math,S,80,80,15,70,Yes,Good,Under_Seven,H
Female,Indian,MiddleSchool,7,Math,S,70,80,95,70,Yes,Good,Under_Seven,H
Female,Indian,HighSchool,11,Math,S,70,80,95,70,Yes,Good,Under_Seven,H
Female,Indian,HighSchool,11,Math,F,60,80,50,40,No,Bad,Under_Seven,M
Female,Indian,MiddleSchool,7,Math,F,100,80,95,90,No,Bad,Under_Seven,H
Male,Indian,MiddleSchool,7,Math,F,100,85,85,70,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,7,Math,F,10,60,5,20,Yes,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Math,S,19,65,50,10,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Math,S,10,75,55,11,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,7,Math,S,80,90,55,19,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,7,Math,S,10,10,15,19,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Math,S,70,75,55,11,Yes,Bad,Under_Seven,M
Female,Indian,MiddleSchool,7,Math,S,100,75,50,70,Yes,Good,Under_Seven,H
Female,Indian,MiddleSchool,7,Math,S,10,79,30,30,No,Bad,Under_Seven,M
Female,Indian,MiddleSchool,7,Math,S,60,55,30,40,No,Bad,Under_Seven,M
Female,Indian,MiddleSchool,7,Math,S,100,75,50,70,Yes,Bad,Under_Seven,H
Male,Indian,HighSchool,11,Math,S,80,80,51,59,Yes,Good,Under_Seven,H
Male,Indian,HighSchool,11,Science,S,23,63,71,89,Yes,Good,Under_Seven,M
Female,Indian,HighSchool,11,Science,S,100,91,98,40,Yes,Bad,Under_Seven,H
Male,Indian,HighSchool,11,Science,S,10,51,40,40,No,Bad,Above_Seven,L
Male,Indian,HighSchool,11,English,S,70,50,33,41,No,Bad,Above_Seven,M
Male,Indian,HighSchool,11,Math,S,70,58,73,91,Yes,Bad,Under_Seven,H
Female,Indian,HighSchool,11,IT,S,70,50,30,49,Yes,Good,Under_Seven,M
Male,Indian,HighSchool,11,Science,S,70,50,33,40,No,Good,Under_Seven,M
Male,Indian,MiddleSchool,7,Science,S,22,51,48,10,No,Bad,Above_Seven,L
Female,Indian,MiddleSchool,7,Science,S,62,68,48,80,Yes,Good,Under_Seven,M
Female,Indian,MiddleSchool,7,Science,S,82,89,58,50,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,7,Science,S,72,80,58,66,No,Bad,Under_Seven,M
Female,Indian,lowerlevel,2,IT,S,70,82,3,73,No,Bad,Under_Seven,H
Female,Indian,lowerlevel,2,IT,S,60,82,93,43,No,Bad,Above_Seven,M
Male,Indian,lowerlevel,2,IT,S,55,72,83,14,Yes,Good,Above_Seven,M
Female,Indian,lowerlevel,2,IT,S,72,65,73,66,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,2,IT,S,51,82,53,43,No,Bad,Under_Seven,M
Male,Indian,lowerlevel,2,IT,S,80,92,83,43,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,2,IT,S,60,52,23,33,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,2,IT,S,30,12,29,23,No,Bad,Under_Seven,M
Male,Indian,lowerlevel,2,IT,S,40,62,83,33,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,2,IT,S,60,52,23,33,No,Good,Under_Seven,M
Male,Indian,lowerlevel,2,IT,S,20,22,53,13,No,Good,Above_Seven,L
Male,Indian,lowerlevel,2,IT,S,20,52,23,33,Yes,Good,Above_Seven,L
Female,Indian,lowerlevel,2,IT,S,50,62,73,43,Yes,Bad,Above_Seven,M
Male,Indian,lowerlevel,2,IT,S,10,2,13,53,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,2,IT,S,60,52,23,33,Yes,Bad,Under_Seven,H
Female,Indian,lowerlevel,2,IT,S,15,52,83,11,Yes,Bad,Under_Seven,M
Female,Indian,lowerlevel,2,IT,S,80,42,33,13,Yes,Bad,Under_Seven,H
Male,Indian,lowerlevel,2,IT,S,40,51,20,33,No,Bad,Under_Seven,M
Female,Indian,lowerlevel,2,IT,S,60,70,63,93,Yes,Bad,Under_Seven,H
Male,Indian,lowerlevel,2,IT,S,50,62,13,33,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,8,Chemistry,S,85,75,62,53,Yes,Bad,Under_Seven,H
Female,Indian,MiddleSchool,8,Chemistry,S,25,15,32,53,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,S,10,35,30,13,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,8,Chemistry,S,87,65,82,33,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,8,Chemistry,S,85,15,22,53,Yes,Good,Under_Seven,M
Female,Indian,MiddleSchool,8,Chemistry,S,80,71,52,51,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,S,75,71,72,53,Yes,Good,Under_Seven,H
Female,Indian,MiddleSchool,8,Chemistry,S,85,66,12,23,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,S,23,25,32,53,No,Bad,Under_Seven,L
Male,Indian,MiddleSchool,8,Chemistry,S,15,25,37,13,Yes,Good,Above_Seven,L
Male,Indian,MiddleSchool,8,Chemistry,S,95,91,62,53,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,S,81,75,62,53,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,S,53,75,72,23,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,S,15,43,42,33,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,S,92,65,62,53,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,8,Chemistry,S,83,75,62,53,No,Bad,Under_Seven,H
Male,Indian,MiddleSchool,8,Chemistry,S,27,15,42,53,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,8,Chemistry,S,45,95,12,13,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,S,15,90,52,83,Yes,Bad,Under_Seven,H
Female,Indian,MiddleSchool,8,Chemistry,S,45,58,52,43,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,8,Chemistry,S,25,5,12,33,Yes,Good,Under_Seven,M
Female,Indian,MiddleSchool,8,Chemistry,S,22,51,42,40,Yes,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,S,29,10,12,24,No,Bad,Above_Seven,L
Female,Indian,MiddleSchool,8,Chemistry,S,72,51,42,24,Yes,Bad,Above_Seven,H
Male,Indian,MiddleSchool,8,Chemistry,S,67,31,42,14,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,17,21,42,14,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,27,41,49,14,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,70,81,39,84,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,27,90,82,14,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,8,Science,S,17,61,42,14,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,87,81,42,19,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,8,Science,S,7,61,22,14,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,8,Science,S,17,50,2,4,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,8,Science,S,5,21,42,14,No,Good,Above_Seven,L
Male,Indian,MiddleSchool,8,Science,S,27,41,32,61,Yes,Bad,Above_Seven,M
Female,Indian,MiddleSchool,8,Science,S,87,88,40,10,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,96,61,42,94,Yes,Bad,Under_Seven,H
Male,Indian,MiddleSchool,8,Science,S,57,51,46,34,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,77,69,41,13,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,80,51,40,24,No,Good,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,62,61,82,40,Yes,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,72,83,12,90,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,8,Science,S,87,81,22,70,Yes,Bad,Under_Seven,H
Male,Indian,MiddleSchool,8,Science,S,72,90,12,30,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Science,S,2,11,62,30,No,Bad,Under_Seven,L
Male,Indian,MiddleSchool,8,Science,S,5,3,2,10,Yes,Good,Under_Seven,L
Male,Indian,HighSchool,11,Math,S,73,84,77,81,Yes,Good,Above_Seven,H
Male,Indian,MiddleSchool,8,Science,S,5,17,21,10,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,8,Science,S,51,42,12,29,No,Bad,Above_Seven,M
Male,Indian,MiddleSchool,8,Science,S,9,7,21,20,Yes,Good,Above_Seven,L
Male,Indian,MiddleSchool,7,Math,F,19,72,15,50,Yes,Good,Above_Seven,M
Female,Indian,MiddleSchool,7,Science,S,32,80,58,46,Yes,Good,Above_Seven,M
Male,Indian,MiddleSchool,7,Science,S,32,60,58,66,Yes,Good,Above_Seven,M
Male,Indian,MiddleSchool,7,Science,S,12,8,18,26,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Science,S,52,10,13,6,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Science,S,72,80,58,66,Yes,Good,Above_Seven,M
Female,Indian,MiddleSchool,7,Science,S,72,80,58,66,Yes,Good,Above_Seven,M
Male,Indian,MiddleSchool,7,Science,S,92,80,88,76,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,7,Science,S,72,80,98,96,Yes,Bad,Under_Seven,H
Male,Indian,MiddleSchool,7,Science,S,72,80,58,86,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,7,Science,S,22,20,18,6,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Science,S,12,20,38,46,No,Bad,Above_Seven,M
Male,Indian,MiddleSchool,7,IT,S,70,92,83,85,Yes,Bad,Under_Seven,H
Female,Indian,MiddleSchool,6,IT,S,50,40,52,66,Yes,Bad,Under_Seven,M
Female,Indian,MiddleSchool,6,Science,S,80,94,62,77,Yes,Good,Under_Seven,H
Female,Indian,MiddleSchool,6,Math,S,87,48,82,96,No,Bad,Above_Seven,M
Female,Indian,MiddleSchool,6,Math,S,70,40,2,16,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,4,IT,S,65,86,62,40,No,Good,Above_Seven,M
Male,Indian,lowerlevel,4,Math,S,15,6,32,40,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,4,English,S,19,74,32,17,No,Good,Above_Seven,L
Female,Indian,lowerlevel,4,Science,S,69,76,82,94,No,Bad,Under_Seven,M
Male,Indian,lowerlevel,4,Chemistry,S,39,26,12,44,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,4,English,S,59,97,42,70,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,4,History,S,10,17,12,40,Yes,Good,Under_Seven,H
Female,Indian,lowerlevel,4,History,S,80,87,72,60,No,Good,Under_Seven,H
Female,Indian,lowerlevel,4,History,S,70,99,66,65,No,Good,Under_Seven,M
Female,Indian,lowerlevel,4,History,S,80,97,86,95,Yes,Good,Under_Seven,M
Male,Indian,lowerlevel,4,English,S,69,34,12,17,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,4,History,S,10,17,12,14,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,4,History,S,61,97,82,64,Yes,Bad,Above_Seven,M
Female,Indian,lowerlevel,4,History,S,21,27,52,34,Yes,Good,Above_Seven,M
Male,Indian,lowerlevel,4,Math,S,49,94,42,7,No,Bad,Above_Seven,M
Female,Indian,MiddleSchool,6,English,F,70,64,42,32,No,Bad,Under_Seven,M
Female,Indian,MiddleSchool,6,English,S,79,84,82,37,No,Bad,Under_Seven,H
Male,Indian,MiddleSchool,6,English,F,19,80,12,17,Yes,Good,Above_Seven,M
Male,Indian,MiddleSchool,6,English,S,11,70,32,29,Yes,Good,Above_Seven,M
Male,Indian,MiddleSchool,6,English,F,10,8,10,10,Yes,Bad,Above_Seven,M
Male,Indian,MiddleSchool,6,English,S,18,28,40,20,Yes,Bad,Above_Seven,M
Female,Indian,MiddleSchool,6,English,F,90,84,52,30,No,Good,Under_Seven,H
Female,Indian,MiddleSchool,6,English,S,92,81,32,36,No,Good,Under_Seven,M
Male,Indian,MiddleSchool,6,English,F,42,21,2,16,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,6,English,S,22,20,6,26,No,Bad,Under_Seven,H
Female,Indian,MiddleSchool,6,English,F,95,82,82,70,Yes,Good,Under_Seven,H
Female,Indian,MiddleSchool,6,English,S,90,62,80,60,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,6,English,F,72,21,22,26,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,6,English,S,92,31,42,27,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,6,English,F,82,31,52,25,No,Good,Under_Seven,M
Male,Indian,MiddleSchool,6,English,S,72,41,46,27,No,Good,Under_Seven,M
Male,Indian,MiddleSchool,6,English,F,74,71,56,37,No,Good,Under_Seven,H
Male,Indian,MiddleSchool,6,English,S,74,60,56,37,No,Good,Under_Seven,H
Female,Indian,MiddleSchool,6,English,F,95,94,72,80,No,Good,Under_Seven,H
Female,Indian,MiddleSchool,6,English,S,97,87,82,86,No,Good,Under_Seven,H
Male,Indian,MiddleSchool,6,English,F,40,38,32,36,No,Bad,Above_Seven,M
Male,Indian,MiddleSchool,6,English,S,41,39,35,39,Yes,Bad,Above_Seven,M
Female,Indian,MiddleSchool,6,English,F,51,79,85,89,Yes,Good,Under_Seven,H
Female,Indian,MiddleSchool,6,English,S,81,79,91,85,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,6,English,F,71,70,65,69,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,6,English,S,75,71,76,80,Yes,Good,Under_Seven,M
Female,Indian,lowerlevel,4,Science,F,49,36,32,44,No,Bad,Above_Seven,L
Female,Indian,lowerlevel,4,Science,S,42,24,12,24,No,Bad,Above_Seven,L
Female,Indian,lowerlevel,4,Science,F,90,86,82,74,Yes,Good,Under_Seven,H
Female,Indian,lowerlevel,4,Science,S,62,64,72,84,Yes,Good,Under_Seven,H
Male,Indian,lowerlevel,4,Science,F,90,86,82,74,Yes,Good,Above_Seven,M
Male,Indian,lowerlevel,4,Science,S,62,64,72,84,Yes,Good,Above_Seven,M
Female,Indian,lowerlevel,4,Science,F,98,87,86,84,No,Good,Under_Seven,H
Female,Indian,lowerlevel,4,Science,S,72,74,82,89,No,Good,Under_Seven,H
Male,Indian,lowerlevel,4,Science,F,18,17,26,34,No,Good,Above_Seven,M
Male,Indian,lowerlevel,4,Science,S,32,14,32,29,No,Good,Above_Seven,M
Male,Indian,lowerlevel,4,Science,F,10,12,20,13,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,4,Science,S,22,34,15,9,No,Bad,Above_Seven,L
Female,Indian,lowerlevel,4,Science,F,11,20,21,23,No,Bad,Under_Seven,M
Female,Indian,lowerlevel,4,Science,S,12,44,25,39,No,Bad,Under_Seven,M
Female,Indian,lowerlevel,4,Science,F,15,50,24,43,Yes,Bad,Under_Seven,M
Female,Indian,lowerlevel,4,Science,S,32,44,29,89,Yes,Bad,Under_Seven,M
